#{"t_start": 1707153303.3442564, "env_id": "Radar-v0"}
r,l,t
39.521764,37,112.991333
31.030843,42,113.074978
37.373773,38,113.179133
61.008936,41,113.369103
33.951253,41,113.468925
54.790614,38,113.529283
49.759642,46,113.727319
35.960764,33,113.814925
43.42204,40,113.88946
53.950013,40,114.089088
32.123694,47,114.20328
41.048697,38,114.281513
71.740309,41,114.500273
52.567953,38,114.605342
56.377974,35,114.685475
35.267024,40,114.774614
52.473988,41,115.110784
37.588707,32,115.192464
36.462586,37,115.295315
41.915142,37,115.577842
48.158928,35,115.643031
58.902805,41,115.723998
44.070594,41,115.896806
42.059879,29,115.985034
50.886859,35,116.074039
48.44026,41,116.172002
28.76593,43,116.46722
70.858555,43,116.532563
50.302901,35,116.593366
60.276702,38,116.772599
53.746954,35,116.840285
44.178686,35,116.922871
55.82718,44,117.008011
69.192454,41,117.21207
49.803872,38,117.303844
34.805814,41,117.401548
20.360449,38,117.587138
57.198327,36,117.673057
13.565322,46,117.811334
49.334415,35,118.164449
44.497198,34,118.243819
41.430544,37,118.331423
48.064058,42,118.536831
50.974073,34,118.636553
58.279845,41,118.730723
50.332577,40,118.82192
23.966744,41,119.012109
73.293342,47,119.115102
53.152319,35,119.18578
38.727882,41,119.407108
44.921101,39,119.494328
56.438139,35,119.544371
23.686068,46,119.761108
45.285324,35,119.855653
47.763193,47,119.960752
61.165386,41,120.154311
48.326931,41,120.230488
33.189111,39,120.290799
22.837689,35,120.345707
49.423307,38,120.537693
15.437838,41,120.610902
55.824942,44,120.709115
56.096619,40,120.912519
64.482177,47,121.025115
50.97499,38,121.138501
39.206845,40,121.370577
67.517816,43,121.445071
54.043455,43,121.518885
43.875734,43,121.713057
56.597462,34,121.790429
56.92659,44,121.875504
54.645236,34,122.054576
31.779394,37,122.136365
39.228378,43,122.262812
36.201201,39,122.460577
50.938466,41,122.536212
41.515792,41,122.596671
25.112679,40,122.750982
52.703141,40,122.863774
34.284254,47,122.968941
31.92276,38,123.070404
70.522746,50,123.295668
24.08047,38,123.395081
31.761065,32,123.494877
31.100932,43,123.778219
54.504455,34,123.843181
49.788342,38,123.935453
70.724233,43,124.152232
45.706657,33,124.246273
57.302289,44,124.3298
59.617949,40,124.546207
53.495011,44,124.637821
43.313949,49,124.736921
40.848668,44,124.941345
45.703401,43,125.051276
66.238646,40,125.144745
48.473276,36,125.332405
50.329308,44,125.41674
66.862973,44,125.493588
39.390291,44,125.790896
42.971471,35,125.876073
73.010676,43,125.992854
39.400242,43,126.346699
31.121206,38,126.424067
38.91685,38,126.492472
28.959051,43,126.5758
43.158039,36,126.759614
11.993281,43,126.87529
37.512438,43,127.003732
35.626481,44,127.211968
24.729055,41,127.283283
33.047052,40,127.369596
56.302225,41,127.56767
31.548867,35,127.655298
61.576562,41,127.733766
41.973598,40,127.930585
30.242191,41,128.02026
34.628306,38,128.09384
34.313597,44,128.267967
58.486921,41,128.376614
36.810315,38,128.469001
38.315308,45,128.675683
44.651091,37,128.768682
63.469369,38,128.828651
53.549857,41,128.901369
29.340704,44,129.129551
52.59487,32,129.201452
